epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7,lr/pg8
44,86634.7,1.20669,1.56035,1.22501,0.59786,0.45142,0.48664,0.34096,1.15826,1.27619,1.18613,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.005743
45,88557.2,1.20564,1.56108,1.22547,0.59863,0.45058,0.48697,0.34127,1.15728,1.27537,1.18526,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.005644
46,90491.7,1.20433,1.55772,1.22448,0.60516,0.44824,0.48745,0.34182,1.15664,1.27458,1.18448,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.005545
47,92428.8,1.20334,1.55211,1.22373,0.60461,0.45058,0.48797,0.34242,1.15608,1.27296,1.18381,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.005446
48,94363.6,1.20157,1.54764,1.22322,0.60597,0.45115,0.48877,0.34254,1.15546,1.27197,1.18327,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.005347
49,96295.5,1.20008,1.54572,1.22396,0.60016,0.45426,0.48918,0.34306,1.155,1.27096,1.18311,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.005248
50,98237.1,1.1977,1.5432,1.22095,0.60192,0.45271,0.48904,0.34329,1.15487,1.26997,1.18303,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.005149
51,100203,1.197,1.53858,1.21933,0.6034,0.45177,0.48907,0.34348,1.15401,1.26922,1.18236,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.00505
52,102186,1.19737,1.5388,1.22072,0.60461,0.44927,0.48942,0.34385,1.1532,1.26826,1.18178,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.004951
53,104129,1.19462,1.53305,1.21852,0.61023,0.44972,0.48976,0.34418,1.15219,1.26788,1.18124,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.004852
54,106055,1.19398,1.52931,1.21795,0.60469,0.4525,0.49031,0.34485,1.15173,1.26729,1.18057,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.004753
55,108000,1.19224,1.52779,1.21668,0.60317,0.45406,0.49001,0.34477,1.15119,1.26623,1.17981,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.004654
56,109982,1.19063,1.52317,1.21526,0.60117,0.45572,0.49076,0.34494,1.15048,1.26519,1.17945,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.004555
57,111938,1.19083,1.51868,1.21479,0.59957,0.45556,0.49129,0.34585,1.15022,1.26436,1.17931,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.004456
58,113883,1.1886,1.51499,1.21333,0.59992,0.45418,0.49186,0.34647,1.15011,1.26276,1.17916,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.004357
59,115826,1.18658,1.51364,1.21402,0.60367,0.45565,0.49312,0.34709,1.14944,1.26157,1.17839,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.004258
60,117775,1.18502,1.51057,1.21127,0.60216,0.45787,0.49364,0.34744,1.1487,1.26021,1.17745,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.004159
61,119731,1.18364,1.50284,1.20967,0.60363,0.45814,0.49411,0.34756,1.1482,1.25937,1.17703,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.00406
62,121691,1.18092,1.50266,1.2079,0.6014,0.45964,0.49419,0.34766,1.14816,1.25771,1.17658,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.003961
63,123638,1.18106,1.50085,1.20894,0.60348,0.45981,0.4948,0.34801,1.14767,1.25634,1.17582,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.003862
64,125576,1.17918,1.49477,1.20679,0.61148,0.45808,0.4954,0.34782,1.1469,1.25531,1.17492,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.003763
65,127534,1.17601,1.48858,1.20528,0.60732,0.46009,0.4955,0.34826,1.14585,1.25404,1.17389,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.003664
66,129479,1.17635,1.48859,1.20481,0.61186,0.45775,0.49511,0.34881,1.14537,1.25255,1.17316,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.003565
67,131430,1.17364,1.48124,1.2053,0.61451,0.45531,0.4962,0.34973,1.14505,1.25198,1.17302,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.003466
68,133367,1.17246,1.47841,1.20187,0.61331,0.45637,0.49679,0.35021,1.14447,1.25068,1.17189,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.003367
69,135294,1.1721,1.47723,1.20219,0.61322,0.45742,0.49761,0.35053,1.14366,1.24912,1.17129,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.003268
70,137235,1.17063,1.47194,1.20148,0.61609,0.45599,0.49835,0.35081,1.14284,1.24756,1.17071,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.003169
71,139183,1.16956,1.46814,1.20021,0.61771,0.45705,0.49911,0.3516,1.14184,1.24678,1.16987,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00307
72,141134,1.16651,1.46464,1.19849,0.61972,0.45678,0.49923,0.35167,1.1412,1.24569,1.16916,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.002971
73,143072,1.16415,1.45846,1.19778,0.61953,0.45661,0.50003,0.35226,1.14113,1.24452,1.16872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.002872
74,145032,1.1641,1.45395,1.19656,0.62041,0.45677,0.50069,0.35256,1.14023,1.24329,1.16784,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.002773
75,146979,1.16132,1.44799,1.19461,0.6188,0.45883,0.50094,0.35299,1.13971,1.24157,1.1671,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.002674
76,148924,1.15664,1.44408,1.19266,0.61182,0.46175,0.50173,0.35343,1.13867,1.24036,1.16655,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.002575
77,150867,1.15603,1.43873,1.1912,0.61009,0.46543,0.50255,0.35411,1.13823,1.23923,1.16627,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.002476
78,152806,1.15494,1.43583,1.19069,0.61277,0.46461,0.50309,0.35452,1.13776,1.23835,1.16592,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.002377
79,154716,1.15246,1.42749,1.18847,0.61984,0.46338,0.50448,0.35581,1.13693,1.23711,1.1653,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.002278
80,156661,1.15001,1.4273,1.1878,0.61768,0.46435,0.5047,0.35583,1.13645,1.23587,1.1649,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.002179
81,158611,1.14821,1.42312,1.18663,0.61197,0.46706,0.50557,0.35649,1.13622,1.23427,1.16464,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00208
82,160552,1.14509,1.41481,1.18438,0.62508,0.46089,0.50586,0.35715,1.1356,1.23283,1.16407,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.001981
83,162420,1.14293,1.40776,1.18244,0.61813,0.46525,0.5063,0.35771,1.13488,1.23106,1.16318,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.001882
84,164004,1.14057,1.40174,1.18058,0.62165,0.46409,0.50655,0.35799,1.13394,1.2298,1.16221,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.001783
85,165575,1.14062,1.39944,1.18108,0.62189,0.46498,0.50682,0.35823,1.13347,1.22867,1.16143,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.001684
86,167147,1.13673,1.39054,1.17776,0.62342,0.4649,0.50725,0.35823,1.13308,1.22733,1.16074,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.001585
87,168723,1.13581,1.38708,1.17713,0.62405,0.46616,0.50732,0.35838,1.13236,1.22658,1.15986,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.001486
88,170302,1.1295,1.378,1.17523,0.62307,0.4682,0.50831,0.35935,1.13173,1.22519,1.15941,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.001387
89,171887,1.1278,1.36999,1.173,0.62585,0.46763,0.50929,0.3599,1.13139,1.22396,1.15904,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.001288
90,173462,1.12549,1.36336,1.17047,0.62272,0.47005,0.51041,0.36072,1.13062,1.22272,1.15849,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.001189
91,175043,1.1541,1.3031,1.19521,0.6185,0.4722,0.51024,0.36087,1.12923,1.22139,1.15729,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00109
92,176619,1.14689,1.28425,1.18952,0.61923,0.47117,0.51103,0.36184,1.12787,1.21982,1.15629,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.000991
93,178192,1.14104,1.27049,1.18624,0.62308,0.47062,0.51214,0.36299,1.12642,1.21871,1.15519,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.000892
94,179764,1.13783,1.26011,1.18363,0.62402,0.47092,0.5126,0.36351,1.1257,1.21806,1.15451,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.000793
95,181340,1.13216,1.24896,1.17999,0.62357,0.47249,0.51316,0.36451,1.12491,1.21732,1.15402,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.000694
96,182571,1.1267,1.23889,1.17629,0.62565,0.47293,0.51366,0.36525,1.12448,1.21534,1.15372,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.000595
97,183805,1.12135,1.22716,1.17312,0.62845,0.47334,0.51446,0.36567,1.12409,1.21453,1.15337,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.000496
98,185038,1.11791,1.21701,1.17029,0.62874,0.47329,0.51473,0.36602,1.12341,1.21371,1.15252,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.000397
99,186260,1.11335,1.20678,1.16797,0.6303,0.47331,0.51494,0.36618,1.12306,1.21282,1.15181,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000298
100,187498,1.10832,1.1963,1.16316,0.62622,0.47609,0.51555,0.3668,1.12297,1.21224,1.15154,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000199
