epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7,lr/pg8
58,94508.7,1.18869,1.51435,1.21296,0.60832,0.45304,0.4922,0.34541,1.15112,1.26061,1.17833,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.004357
59,96119.6,1.18651,1.51486,1.21308,0.60504,0.45441,0.49323,0.34631,1.15054,1.2596,1.17772,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.004258
60,97725.1,1.18491,1.50961,1.21082,0.60523,0.45418,0.49365,0.34705,1.15023,1.2589,1.17733,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.004159
61,99334.1,1.18425,1.50278,1.20928,0.60526,0.45433,0.4945,0.34731,1.14986,1.25836,1.17683,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.00406
62,100969,1.18049,1.50242,1.20745,0.61148,0.45405,0.49498,0.34767,1.14927,1.25742,1.17633,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.003961
63,102605,1.18102,1.50033,1.20863,0.60649,0.45947,0.49572,0.34812,1.14866,1.25559,1.17573,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.003862
64,104231,1.17892,1.49438,1.20713,0.61152,0.4563,0.49625,0.3485,1.1481,1.25448,1.17518,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.003763
65,105859,1.17624,1.48863,1.20586,0.60782,0.45708,0.49654,0.34855,1.14747,1.25341,1.17447,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.003664
66,107466,1.17669,1.48765,1.20426,0.61073,0.45536,0.49696,0.34885,1.14681,1.25249,1.17367,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.003565
67,109089,1.17367,1.48028,1.20357,0.61016,0.45607,0.49711,0.34967,1.146,1.2509,1.17273,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.003466
68,110718,1.17207,1.47867,1.20174,0.61345,0.45558,0.49788,0.35003,1.14542,1.24961,1.17241,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.003367
