epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7,lr/pg8
47,87609.6,1.20418,1.55281,1.22443,0.61475,0.44136,0.48616,0.34125,1.15641,1.27339,1.18414,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.005446
48,89417.9,1.20253,1.54723,1.22312,0.61677,0.44031,0.48631,0.34147,1.15606,1.27247,1.18405,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.005347
49,91243.5,1.20059,1.54591,1.22356,0.62036,0.43984,0.48697,0.34187,1.15553,1.27111,1.18362,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.005248
50,93079.1,1.19761,1.54394,1.22016,0.61812,0.44319,0.48735,0.34204,1.15444,1.26943,1.18244,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.005149
51,94911.6,1.19681,1.54029,1.21993,0.6127,0.44514,0.48815,0.34283,1.15343,1.26862,1.18144,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.00505
52,96744.1,1.19714,1.5393,1.22053,0.61228,0.4461,0.48857,0.34315,1.15297,1.26735,1.18107,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.004951
53,98588.8,1.19545,1.53247,1.2183,0.61442,0.44547,0.48835,0.34362,1.1535,1.26707,1.18128,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.004852
54,100443,1.19368,1.52859,1.21756,0.61198,0.44805,0.48887,0.34403,1.15304,1.26579,1.18092,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.004753
55,102295,1.19195,1.52735,1.21627,0.60675,0.44864,0.48881,0.34387,1.15311,1.26505,1.18077,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.004654
56,104111,1.19056,1.52157,1.21485,0.60583,0.45068,0.48931,0.34434,1.15285,1.2643,1.18047,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.004555
57,105960,1.19124,1.51796,1.21421,0.60685,0.45072,0.49012,0.34465,1.15278,1.26385,1.18022,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.004456
58,107813,1.18911,1.51525,1.21386,0.61116,0.4487,0.49044,0.34513,1.15164,1.26231,1.1795,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.004357
59,109690,1.18645,1.51473,1.21361,0.61033,0.44909,0.49109,0.34547,1.15077,1.2614,1.17871,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.004258
60,111537,1.18509,1.51044,1.21111,0.61168,0.44957,0.49149,0.34633,1.14998,1.26023,1.1778,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.004159
61,113373,1.18363,1.50308,1.20949,0.60576,0.45259,0.49197,0.34644,1.14991,1.25922,1.17762,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.00406
62,115204,1.18115,1.50329,1.20792,0.60509,0.45234,0.49242,0.34679,1.14932,1.25778,1.17695,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.003961
63,117052,1.18088,1.50044,1.20911,0.61399,0.45044,0.49325,0.34752,1.14817,1.25655,1.17589,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.003862
64,118857,1.17892,1.49407,1.20682,0.60794,0.45608,0.49411,0.34773,1.14776,1.2558,1.17534,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.003763
65,120627,1.17601,1.48947,1.20555,0.60882,0.45439,0.49402,0.34803,1.14706,1.25375,1.17489,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.003664
66,122431,1.1764,1.48754,1.20575,0.61111,0.45406,0.49449,0.34856,1.14691,1.25242,1.17502,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.003565
67,124276,1.17387,1.47965,1.20371,0.60924,0.45476,0.49525,0.34916,1.14644,1.25097,1.17452,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.003466
68,126131,1.17255,1.4775,1.20181,0.61506,0.45253,0.49566,0.34956,1.14619,1.2494,1.17389,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.003367
69,127924,1.17167,1.47761,1.20217,0.61253,0.45338,0.49623,0.35017,1.14538,1.24856,1.17343,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.003268
70,129748,1.17017,1.47139,1.20092,0.611,0.45311,0.49685,0.3503,1.14417,1.24756,1.17261,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.003169
71,131582,1.16899,1.46779,1.19985,0.61554,0.455,0.4975,0.35085,1.14317,1.24627,1.1717,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00307
72,133425,1.16611,1.4641,1.19799,0.61874,0.45578,0.49857,0.35135,1.14225,1.24535,1.17106,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.002971
73,135279,1.16379,1.45805,1.19745,0.62027,0.4547,0.49926,0.35212,1.14153,1.24459,1.17042,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.002872
74,137147,1.16471,1.45259,1.19704,0.61992,0.45758,0.50021,0.35213,1.14119,1.24361,1.16974,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.002773
75,138974,1.16108,1.44824,1.19538,0.6248,0.45611,0.5002,0.35247,1.14102,1.24243,1.16923,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.002674
76,140823,1.15708,1.44347,1.19268,0.62027,0.45921,0.50103,0.35279,1.13986,1.24084,1.16806,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.002575
77,142672,1.15662,1.43873,1.19127,0.62326,0.45856,0.50122,0.35311,1.13916,1.23913,1.16743,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.002476
78,144476,1.15532,1.43596,1.19132,0.62408,0.45924,0.50193,0.3536,1.13826,1.23798,1.16662,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.002377
79,146313,1.15224,1.42787,1.18868,0.62565,0.45914,0.50262,0.35394,1.1381,1.23642,1.16631,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.002278
80,148139,1.15028,1.42638,1.1879,0.62609,0.45944,0.50353,0.35478,1.13702,1.23553,1.16545,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.002179
81,149975,1.14848,1.42242,1.18616,0.62325,0.46127,0.50417,0.35505,1.13651,1.2343,1.16481,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00208
82,151800,1.14593,1.41489,1.18497,0.62573,0.46076,0.50444,0.35562,1.13628,1.23334,1.16452,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.001981
83,153642,1.14296,1.40713,1.18285,0.62739,0.45959,0.50495,0.35609,1.13585,1.23231,1.16381,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.001882
84,155491,1.14038,1.40142,1.18085,0.62702,0.46198,0.50567,0.35646,1.13513,1.23103,1.16307,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.001783
85,157313,1.1407,1.39912,1.18173,0.62601,0.46265,0.50644,0.35717,1.13454,1.23013,1.16245,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.001684
86,159145,1.13686,1.39077,1.17854,0.62323,0.4656,0.50715,0.3579,1.13399,1.22888,1.16212,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.001585
87,160979,1.13574,1.38689,1.17731,0.62133,0.46589,0.50798,0.35822,1.13319,1.22793,1.16125,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.001486
88,162727,1.1292,1.37736,1.17478,0.62186,0.46621,0.50879,0.35859,1.13251,1.22692,1.16062,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.001387
